Canonical_Isomeric_SMILES(sources: PubChem_ChEMBL_and_EMBL-EBI),CHEMBL_synonyms_PubChem_SID,Label: 0-Inactive  1-Active 
C1CC[C@@H]2C[C@H]3CN(C2)CCCC/C=C\CCCC[C@@H]4[C@H]3CCN(C4)CCCC/C=C\C1,CHEMBL1258043,0
CC1=C(C(SC1=O)(C)C/C=C(\C)/CCC=C(C)C)O,CHEMBL197346,0
CC1=C2C(C3(C4=CC=CC=C4N(C3=O)CCCCCCO2)O)(SC1=O)C,CHEMBL1760520,0
CC1(OC(=O)C(=CNC2=CC3=C(C=C2)N=CS3)C(=O)O1)C,CHEMBL1077470,0
C1=CC(=CC=C1CN2C=C[N+](=C2)CC3=CC=C(C=C3)F)F.[Br-],CHEMBL1214042,0
CCOC(=O)/C=C/C(=O)N[C@@H](CCC(=O)NC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)OC,CHEMBL1092456,0
CC1(OC(=O)C(=CC2=CC=CC3=CC=CC=C32)C(=O)O1)C,CHEMBL1214164,0
COC1=C2C(=CC(=C1N3C[C@@H]4[C@H](C3)C4CN)F)C(=O)C(CN2C5CC5)C(=O)O,CHEMBL314302,0
CCNC(=O)C1=C(CSC1=NC2=CC3=CC=CC=C3C=C2)O,CHEMBL2431491,0
CNCC[C@@H](C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,CHEMBL1169388,0
CC1=CC=C(C=C1)C2OOC(OO2)C3=CC=C(C=C3)CNC4=CC=CC=C4S,CHEMBL1796425,0
CC(C)CCNC(=O)CN=CC1=C(NC2=CC=CC=C21)O,CHEMBL1689608,0
C1=CC(=CC(=C1)S(=O)(=O)C2=C(C=CC(=C2)O)O)S(=O)(=O)C3=C(C=CC(=C3)O)O,CHEMBL490099,0
CN(C)C1=CC=C(C=C1)CN2CC[C@H](C2)N3CC(=O)N4[C@@H](C3=O)CC5=C([C@H]4C6=CC7=C(C=C6)OCO7)NC8=CC=CC=C58,CHEMBL2022211,0
C1CCN(C1)CC2=C(C=CC(=C2O)/C=N/NC(=O)NCCNC3=C4C=CC(=CC4=NC=C3)Cl)O,CHEMBL223654,0
CC1=CC=C(C=C1)SC(C2=CC=C(C=C2)[N+](=O)[O-])C3=C(C4=CC=CC=C4C(=O)C3=O)O,CHEMBL2316642,0
CC(C)C(=O)O[C@@H]1CN2CC3=CC4=C(C=C3[C@@]15[C@@H]2C[C@@H](C=C5)OC)OCO4,CHEMBL2087248,0
CC1=CC=C(C=C1)CC(=O)NC2=C(C=C(C=C2)NC(=O)/C=C/C3=CC=C(C=C3)C)C(=O)C4=CC=CC=C4,CHEMBL135686,0
C[C@]1([C@@H]2CC[C@@H](C2)C1(C)C)NC,CHEMBL1398031,0
C[C@]12CCCC([C@@H]1CC[C@@H]3[C@@H]2C(=O)C=C(C3=C)CCOC(=O)/C=C/C4=CC(=C(C=C4)O)O)(C)C,CHEMBL2381685,0
CCCC1CCC(CC1)N(CC2=CC3=C(C=C2)OCO3)C4=NC(=NC(=N4)N5CCOCC5)C#N,CHEMBL2402090,0
C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,CHEMBL117,0
CCCCCCCCC[C@]1(CC[C@H](C(=O)O[C@](CC[C@H](C(=O)O1)C)(CCCCCCCCC)CO)C)CO,CHEMBL1094284,0
CCOP(=O)(NC(C)C)OC1=CC=CC=C1C(F)(F)F,CHEMBL1835173,0
CC(=O)NC1=CC2=C(C=C1)OC(=C(C2=O)OC)C3=CC(=CC=C3)C(F)(F)F,CHEMBL1214743,0
CO[C@H]1C[C@H]2[C@@]3(C=C1)[C@@H](CN2CC4=CC5=C(C=C34)OCO5)OC(=O)C6=CN=CC=C6,CHEMBL2087246,0
COC1=CC2=C(C(=C1)OC)C(=O)/C(=C/C3=CC(=C(C(=C3)OC)OC)OC)/N2,CHEMBL1213930,0
C[C@@]1(CCC2=C(C1)CC[C@@H]3[C@@]2(CC[C@@H](C3(C)C)O)C)C=C,CHEMBL254635,0
C[C@]1(CCC[C@@]2([C@@H]1CC[C@]34[C@]25[C@H](O5)C[C@@H](C3)[C@]6(C4)CO6)C)C(=O)OC,CHEMBL2373963,0
C1=CC=C(C=C1)COC(=O)N[C@@H](CCCCN)C(=O)C2=NC3=CC=CC=C3S2,CHEMBL1081864,0
C1C(CC(=O)C2=C1NC3=C(S2)C=C(C=C3)Cl)C4=CC=C(C=C4)Cl,CHEMBL91050,0
CCOC(=O)C1=C(CSC1=NC2=CC(=C(C=C2)Cl)C(F)(F)F)O,CHEMBL2431506,0
C1=CC(=CC=C1CN2C=CN=C2)C3=CC=C(C=C3)CN4C=CN=C4,CHEMBL1923915,0
CCOC1=CC=C(C=C1)C(=O)/C=C/C2=CC=C(C=C2)[N+](=O)[O-],CHEMBL138676,0
C1CCN(CC1)CC2=C(C=CC3=C2O/C(=C\C4=CC=CC=C4)/C3=O)O,CHEMBL580847,0
CCCCCCCCCCCN1CC2=CC3=C(C=C2C4=CC=CC(=C41)C=C)OCO3,CHEMBL1173758,0
C1C2CC3CC1CC(C2)(C3)NCCCNC4=C(C=C(C=C4)[N+](=O)[O-])[N+](=O)[O-],CHEMBL1830323,0
C1=CC=NC(=C1)/C=C/C(=O)C2=CC=C(C=C2)O,CHEMBL140412,0
CC1=CC=C(C=C1)N2[C@@H]([C@@H](C2=O)N3C=C(N=N3)C4=CC=CC=C4)/C=C/C5=CC=CC=C5,CHEMBL1807752,0
CCCCOC1=C(C(=O)C1=O)N2CCN(CC2)C3=C4C=CC(=CC4=NC=C3)Cl,CHEMBL2435698,0
COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,CHEMBL1502,0
CC(=O)OC12C(=CC(OO1)(C)C)C(=O)C(C(=O)C2(C)C)(C)C,CHEMBL32542,0
CN1C2=C(C=C(C=C2)Cl)C(=C3C1=NC4=CC=CC=C43)N5CCC(CC5)N6CCCCC6,CHEMBL473285,0
CC1=NC2=C(N1)C=CC=C2NCC3=CC=C(C=C3)OC,CHEMBL2089266,0
CC(=CCC1=C(C(=CC(=C1)/C=C/C(=O)C2=C(C=C(C=C2)O)O)O)O)C,CHEMBL253677,0
CC1=C2C(=C(C=C(C2=NC=C1)N[C@H](C)CCCN)OC)OC3=CC(=C(C=C3)Cl)Cl.C(CC(=O)O)C(=O)O,CHEMBL1651866,0
C1C(=[N+]2C=CC=CC2=N1)CC(O)(P(=O)(O)O)P(=O)(O)[O-],CHEMBL608526,0
C1=CC=C2C(=C1)C=C3C=CC=CC3=C2CN4C=C(C5=CC=CC=C54)C6=NC(=NC=C6)N,CHEMBL3133774,0
CC(C)(C)C1=NN(C(=C1)C(=O)NC2=CC=CC=C2)CC3=CC=CC=C3,CHEMBL1917515,0
COC1=CC2=C(C=C1)SC[C@H]3[C@@H]2O[C@@H]([C@H]([C@@H]3OCC4=CC=CC=C4)OCC5=CC=CC=C5)COCC6=CC=CC=C6,CHEMBL3338905,0
CCC1=CC=C(C=C1)NCC2=CC=C(C=C2)C3OOC(OO3)C4=CC=C(C=C4)C,CHEMBL1796537,0
CO[C@H]1C[C@H]2[C@]3([C@@H](CN2CC4=CC5=C(C=C43)OCO5)O)[C@H]([C@@H]1Br)Br,CHEMBL2087257,0
COC1=CC(=C(C=C1)C(=O)/C=C/C2=CC3=CC=CC=C3C=C2)OC,CHEMBL221432,0
C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,CHEMBL169,0
CCCCCCC1=NN([N+](=N1)C2=CC=CC=C2)C3=CC=CC=C3.[Br-],CHEMBL270445,0
CCN(CC)CC(CN1C=NC2=C(N=CN=C21)N)NCC3=CC=C(C=C3)OC,CHEMBL1668536,0
C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@H](C3)C(=C)C4)(C)C(=O)O,CHEMBL489140,0
CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,CHEMBL422,0
CCN(CC)CCNC(=O)C1=C(N=C(S1)C2=CC=CS2)C3=CC=CC=C3,CHEMBL1780194,0
C/C=C/C=C/C1=NC2=CC=CC=C2N3C1=CC=C3,CHEMBL3260206,0
CC(C)CNC(=O)CCCNC(=O)[C@@H](C(C)(C)CO)O,CHEMBL2408992,0
C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O,CHEMBL472940,0
CN1CCC2=C[C@@H]([C@@H]3[C@H]([C@@H]21)C4=CC(=C(C=C4C(=O)O3)OC)OC)O,CHEMBL2377308,0
COC1=CC2=C(C(=C1)OC)C(=O)/C(=C/C3=CC=CC=C3)/O2,CHEMBL305419,0
C1CCN(CC1)CC2=C(C=C(C=C2)/C=C/C(=O)C3=CC=CN3)O,CHEMBL3601831,0
C[C@@H]([C@H]1C(=O)NC(=C)C(=O)N1C)OC,CHEMBL3633235,0
CC(C)(C)OC(=O)N[C@@H](CSCC1=CC=CC=C1)C(=O)NC2=NC=CS2,CHEMBL2261396,0
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)CCN2CCN(CC2)C3=C4C=CC(=CC4=NC=C3)Cl,CHEMBL3127938,0
C[C@]1(C[C@@H](C2=C(C1)C(=O)C3=C(C(=CC(=C3C2=O)O)NCCOC)O)O)O,CHEMBL2207697,0
CC/C=C(\C)/C=C/CCC[C@@]1(C[C@@H]([C@@H](OO1)CC(=O)OC)C)OC,CHEMBL1164344,0
CSC1=NN(C=[N+]1C2=CC=CC=C2)C3=CC=CC=C3.[Br-],CHEMBL1214231,0
C[C@@H]1CC[C@H]([C@@H](C1)O[C@H]2[C@H](N(C2=O)[C@@H](C)C3=CC=CC=C3)C4=CC=CC=C4Cl)C(C)C,CHEMBL3343685,0
CC1=CC=C(C=C1)C2OOC(OO2)C3=CC=C(C=C3)C(=O)NCCNC4=C5C=CC(=CC5=NC=C4)Cl,CHEMBL1796564,0
CN(C1=NC2=CC=CC=C2S1)C(=O)C3=CN4C(=CN=C4C=N3)C5=CC=C(C=C5)C(F)(F)F,CHEMBL3325601,0
CSC1=CC=C(C=C1)C=C2C3=CC=CC=C3C(=O)N2C4=C(C=CC(=C4)Cl)N,CHEMBL1834946,0
CC1=NC2=NC=NN2C(=C1)NC3=CC4=CC=CC=C4C=C3O,CHEMBL487518,0
CN1C2C(=CC3=C1C=C(C=C3)Br)C4=CC=CC=C4N2,CHEMBL332478,0
C[C@@]1(CSC(=N1)C2=C(C=CC=N2)O)C(=O)O,CHEMBL11301,0
CC(C)C(=O)[C@]12C(=O)C(=C3[C@](C1=O)(C[C@@H]([C@@]2(C)CCC=C(C)C)CC=C(C)C)CC(O3)C(C)(C)O)CC=C(C)C,CHEMBL397752,0
COC(=O)C1[C@@H](N([C@@H](C(C1=O)C(=O)OC)C2=CC=C(C=C2)[N+](=O)[O-])CC3=CC=CC=C3)C4=CC=C(C=C4)[N+](=O)[O-],CHEMBL401493,0
C[C@H]1[C@H](C[C@H]2[C@@H]1[C@H]([C@]3(C=C[C@@]2(OO3)C)[C@@H](C)CO)O)OCC4=CC=C(C=C4)OC,CHEMBL1278028,0
CCC(=O)O[C@H](C[C@@H](C)[C@H]1CC[C@@]2([C@@]1(CC[C@@]3([C@H]2[C@H](C=C4[C@H]3CC[C@@H](C4(C)C)O)OC)C)C)C)C=C(C)C,CHEMBL593010,0
COC1=C(C=C(C=C1)CC2(C3=CC=CC=C3C4=NCCN42)O)OC,CHEMBL65260,0
C1CCC(C1)C2=CC=C(C=C2)OC3=CC=C(C=C3)CN4CCS(=O)(=O)C4=O,CHEMBL234754,0
CCOP(=O)(NC(C)C)OC1=NC=C(C=C1)C(F)(F)F,CHEMBL2391944,0
CCN(CC)CCCCOC1=CC=CC2=C1N=CC=C2,CHEMBL2314391,0
